passenger_id,survived
295,0
1150,0
89,1
1063,0
1020,0
747,1
368,0
1047,0
569,0
232,1
365,1
351,0
535,0
287,0
767,0
528,0
430,1
60,0
1212,0
462,0
622,0
837,0
47,0
9,1
670,0
436,1
1110,0
780,0
197,0
545,0
522,0
133,0
205,0
795,0
119,0
316,0
686,0
290,0
594,0
613,0
803,0
328,0
991,0
252,0
38,0
826,1
266,0
276,0
500,0
350,1
906,0
833,0
201,0
893,0
929,0
657,0
1215,0
659,1
65,1
961,1
640,0
942,0
1021,0
1290,1
976,0
48,1
199,0
1028,1
992,1
1017,0
581,0
684,1
685,0
437,0
113,0
111,0
41,1
1124,1
121,1
568,0
964,0
784,0
517,0
366,0
869,0
31,0
58,0
903,0
509,0
474,0
298,1
516,0
808,0
625,0
725,0
256,0
781,0
167,1
660,0
1120,0
1012,1
1117,0
866,0
895,0
927,0
144,1
1280,0
190,1
44,1
843,0
429,0
478,0
933,0
1224,0
727,0
443,0
187,1
1035,0
274,1
967,1
78,1
432,0
134,1
301,1
806,0
503,0
259,1
1149,1
690,0
16,0
413,0
294,0
608,0
260,1
1081,1
1232,0
772,0
836,0
765,0
1090,0
531,0
913,0
492,1
768,0
341,1
387,1
1048,0
71,1
189,0
738,1
1200,0
752,0
339,1
794,1
171,1
1076,1
1004,1
702,1
384,0
482,1
1229,0
572,1
311,1
342,1
291,1
244,0
1211,0
1221,0
1276,1
302,1
647,1
888,0
1019,0
512,0
1103,1
977,0
953,0
718,0
857,0
1142,0
1254,0
543,0
240,1
810,0
1189,0
959,0
1263,1
783,0
1283,0
284,1
204,1
1168,0
529,1
644,0
84,0
788,0
796,0
297,1
277,1
645,0
352,1
928,1
519,1
194,0
431,0
135,1
774,0
637,0
178,1
724,0
414,0
589,1
468,0
315,1
235,0
196,0
1140,0
101,0
626,0
335,0
1258,0
1006,1
367,0
853,0
137,1
939,0
537,0
882,0
579,0
1161,0
400,1
758,0
126,0
461,0
1064,0
397,0
264,0
435,0
411,1
320,0
459,0
1071,1
505,0
760,0
1192,1
910,0
542,1
1105,0
1308,0
745,1
1001,1
986,0
1022,0
1094,1
917,0
484,1
123,0
1122,0
242,1
559,1
1252,0
358,1
954,0
383,0
801,0
1036,0
140,0
989,0
92,1
518,0
1296,0
987,1
552,0
1080,0
678,1
1305,1
840,0
507,0
157,0
360,0
832,0
1199,0
573,1
1295,0
145,0
75,1
658,0
750,0
883,0
281,1
1061,0
206,1
97,1
1107,0
1059,0
220,0
526,0
493,0
742,0
885,0
454,0
147,0
103,1
156,0
612,0
28,1
566,0
874,0
580,1
1261,1
401,1
1196,0
283,0
1248,0
527,1
72,1
490,1
63,1
734,1
402,0
106,0
1183,0
1007,0
1264,0
680,0
717,1
798,0
550,0
1085,0
571,0
555,0
1223,0
1285,0
1204,0
67,0
177,0
1099,0
598,1
842,0
114,0
891,0
847,1
1057,1
1125,0
899,0
524,0
980,0
1013,1
152,0
299,0
1074,0
369,1
1193,0
361,0
1292,0
109,0
22,0
347,0
1113,0
412,0
371,1
1244,1
835,0
621,0
1195,0
331,1
289,1
1106,0
1069,0
364,0
238,1
1005,0
935,0
952,0
617,0
417,0
470,0
1027,0
1203,0
534,1
0,1
1268,0
590,0
523,0
1255,0
619,0
614,0
771,1
292,0
303,0
269,0
130,0
873,0
646,0
163,1
557,1
1277,0
974,0
363,0
1052,0
1186,0
51,1
574,0
1251,0
7,0
1134,0
639,0
489,1
421,0
1092,0
248,1
346,0
563,0
99,1
807,0
665,0
323,0
20,0
272,0
530,0
1170,0
565,0
666,1
818,1
948,0
943,0
706,1
280,0
692,1
533,0
1040,0
428,0
1158,0
736,0
218,1
915,0
377,1
786,0
88,1
860,0
1297,0
875,0
141,1
6,1
33,1
1208,0
338,1
318,0
457,0
90,1
271,1
1018,0
1289,0
227,0
1194,0
403,0
108,1
510,0
1265,1
